marple_id,localfocus_id
Total asylum decisions,Total
Total positive decisions,Total positive decisions
Geneva Convention status,Geneva Convention status
Subsidiary protection status,Subsidiary protection status
Rejected asylum decisions,Rejected
Humanitarian status,Humanitarian status
Temporary protection status,Temporary protection status
