localfocus_id,marple_id
ED0-2,ED0_2
ED3_4,ED3_4
ED5-8,ED5_8
Less than primary,ED0_2
Upper secondary,ED3
Upper secondary and post-secondary non-tertiary education (levels 3 and 4),ED3_4
Tertiary education (levels 5-8),ED5_8
All ISCED 2011 levels,all_education_levels
NRP,NRP
TOTAL,all_education_levels
